ConformationTimeStamp,ITQ_Value 7,ITQ_Value 11,ITQ_Value 35,ITQ_Value 63,ActiveBinding
adrb2_508000,0,6,(43),(73),Y
adrb2_508200,NA,NA,NA,NA,NA
adrb2_508400,NA,NA,NA,NA,NA
adrb2_508600,NA,NA,NA,NA,NA
adrb2_508800,NA,NA,NA,NA,NA
adrb2_509000,NA,NA,NA,NA,NA
adrb2_509200,NA,NA,NA,NA,NA
adrb2_509400,NA,NA,NA,NA,NA
adrb2_509600,NA,NA,NA,NA,NA
adrb2_509800,NA,NA,NA,NA,NA
adrb2_510000,NA,NA,NA,NA,NA
adrb2_510200,NA,NA,NA,NA,NA
adrb2_510400,NA,NA,NA,NA,NA
adrb2_510600,NA,NA,NA,NA,NA
adrb2_510800,NA,NA,NA,NA,NA
adrb2_511000,NA,NA,NA,NA,NA
adrb2_511200,NA,NA,NA,NA,NA
adrb2_511400,NA,NA,NA,NA,NA
adrb2_511600,NA,NA,NA,NA,NA
adrb2_511800,NA,NA,NA,NA,NA
adrb2_512000,NA,NA,NA,NA,NA
adrb2_512200,NA,NA,NA,NA,NA
adrb2_512400,NA,NA,NA,NA,NA
adrb2_512600,NA,NA,NA,NA,NA
adrb2_512800,NA,NA,NA,NA,NA
adrb2_513000,NA,NA,NA,NA,NA
adrb2_513200,NA,NA,NA,NA,NA
adrb2_513400,NA,NA,NA,NA,NA
adrb2_513600,NA,NA,NA,NA,NA
adrb2_513800,NA,NA,NA,NA,NA
adrb2_514000,NA,NA,NA,NA,NA
adrb2_514200,NA,NA,NA,NA,NA
adrb2_514400,NA,NA,NA,NA,NA
adrb2_514600,NA,NA,NA,NA,NA
adrb2_514800,NA,NA,NA,NA,NA
adrb2_515000,NA,NA,NA,NA,NA
adrb2_515200,NA,NA,NA,NA,NA
adrb2_515400,NA,NA,NA,NA,NA
adrb2_515600,NA,NA,NA,NA,NA
adrb2_515800,NA,NA,NA,NA,NA
adrb2_516000,NA,NA,NA,NA,NA
adrb2_516200,NA,NA,NA,NA,NA
adrb2_516400,NA,NA,NA,NA,NA
adrb2_516600,NA,NA,NA,NA,NA
adrb2_516800,NA,NA,NA,NA,NA
adrb2_517000,NA,NA,NA,NA,NA
adrb2_517200,NA,NA,NA,NA,NA
adrb2_517400,NA,NA,NA,NA,NA
adrb2_517600,NA,NA,NA,NA,NA
adrb2_517800,NA,NA,NA,NA,NA
adrb2_518000,NA,NA,NA,NA,NA
adrb2_518200,2,3,(36),(70),Y
adrb2_518400,NA,NA,NA,NA,NA
adrb2_518600,NA,NA,NA,NA,NA
adrb2_518800,NA,NA,NA,NA,NA
adrb2_519000,NA,NA,NA,NA,NA
adrb2_519200,NA,NA,NA,NA,NA
adrb2_519400,NA,NA,NA,NA,NA
adrb2_519600,NA,NA,NA,NA,NA
adrb2_519800,NA,NA,NA,NA,NA
adrb2_520000,3,3,26,(64),Y
adrb2_520200,NA,NA,NA,NA,NA
adrb2_520400,NA,NA,NA,NA,NA
adrb2_520600,NA,NA,NA,NA,NA
adrb2_520800,NA,NA,NA,NA,NA
adrb2_521000,NA,NA,NA,NA,NA
adrb2_521200,NA,NA,NA,NA,NA
adrb2_521400,NA,NA,NA,NA,NA
adrb2_521600,NA,NA,NA,NA,NA
adrb2_521800,NA,NA,NA,NA,NA
adrb2_522000,NA,NA,NA,NA,NA
adrb2_522200,NA,NA,NA,NA,NA
adrb2_522400,NA,NA,NA,NA,NA
adrb2_522600,NA,NA,NA,NA,NA
adrb2_522800,NA,NA,NA,NA,NA
adrb2_523000,NA,NA,NA,NA,NA
adrb2_523200,NA,NA,NA,NA,NA
adrb2_523400,NA,NA,NA,NA,NA
adrb2_523600,NA,NA,NA,NA,NA
adrb2_523800,NA,NA,NA,NA,NA
adrb2_524000,NA,NA,NA,NA,NA
adrb2_524200,NA,NA,NA,NA,NA
adrb2_524400,NA,NA,NA,NA,NA
adrb2_524600,NA,NA,NA,NA,NA
adrb2_524800,NA,NA,NA,NA,NA
adrb2_525000,NA,NA,NA,NA,NA
adrb2_525200,NA,NA,NA,NA,NA
adrb2_525400,NA,NA,NA,NA,NA
adrb2_525600,NA,NA,NA,NA,NA
adrb2_525800,NA,NA,NA,NA,NA
adrb2_526000,NA,NA,NA,NA,NA
adrb2_526200,NA,NA,NA,NA,NA
adrb2_526400,NA,NA,NA,NA,NA
adrb2_526600,NA,NA,NA,NA,NA
adrb2_526800,NA,NA,NA,NA,NA
adrb2_527000,NA,NA,NA,NA,NA
adrb2_527200,NA,NA,NA,NA,NA
adrb2_527400,NA,NA,NA,NA,NA
adrb2_527600,NA,NA,NA,NA,NA
adrb2_527800,1,4,(50),(88),Y
